Altbier
Barleywine
Bitter
Bière de Champagne / Bière Brut
Blonde Ale
Bock
Braggot
Brett Beer
Brown Ale
California Common / Steam Beer
Chile Beer
Cream Ale
Dubbel
Farmhouse Ale
Fruit and Field Beer
Gruit / Ancient Herbed Ale
Happoshu
Herb and Spice Beer
IPA
Kvass
Kölsch
Lager
Lambic
Low Alcohol Beer
Mild Ale
Old Ale
Pale Ale
Pilsner
Porter
Pumpkin Beer
Quadrupel (Quad)
Red Ale
Rye Beer
Scotch Ale / Wee Heavy
Scottish Ale
Smoked Beer
Sour
Stout
Strong Ale
Tripel
Wheat Beer
Wild Ale
Winter Warmer
